title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words	corpus
História da Literatura Brasileira: Fatores da Literatura Brasileira	Sílvio Romero	1888.0	Male	1800.0	2128.0	3830.0	115257.0	PPORTAL
História da Província de Santa Cruz	Pero de Magalhães Gândavo	1576.0	Male	1500.0	17411.0	558.0	25065.0	PPORTAL
História da Província de Santa Cruz, A que Vulgarmente Chamamos Brasil	Pero de Magalhães Gândavo	1576.0	Male	1500.0	2001.0	558.0	25071.0	PPORTAL
História da literatura portuguesa (recapitulação): Idade média	Teófilo Braga	1906.0	Male	1900.0	43350.0	4429.0	147466.0	PPORTAL
História da literatura portuguesa: teatro clássico no século XVI e XVII	Teófilo Braga	1906.0	Male	1900.0	43434.0	3608.0	100994.0	PPORTAL
História de Quinze Dias	Machado de Assis	1884.0	Male	1800.0	16941.0	945.0	19114.0	PPORTAL
História de um Dominó	Artur Azevedo	1904.0	Male	1900.0	7463.0	27.0	623.0	PPORTAL
História de um Soneto	Artur Azevedo	1904.0	Male	1900.0	7464.0	69.0	1819.0	PPORTAL
História de um crime	Antônio Frederico de Castro Alves	1871.0	Male	1800.0	86632.0	16.0	270.0	PPORTAL
História de uma lágrima	Machado de Assis	1865.0	Male	1800.0	17414.0	212.0	3263.0	PPORTAL
História do Futuro, Vol. I	Pe. Antônio Vieira	1718.0	Male	1700.0	17328.0	1545.0	70983.0	PPORTAL
História do Futuro, Vol. II	Pe. Antônio Vieira	1718.0	Male	1700.0	17329.0	1296.0	60537.0	PPORTAL
História do compadre rico e do compadre pobre	Adolfo Coelho	1875.0	Male	1800.0	81609.0	24.0	474.0	PPORTAL
Histórias da Meia-Noite	Machado de Assis	1873.0	Male	1800.0	1893.0	2776.0	47282.0	PPORTAL
Histórias e Sonhos	Afonso Henriques de Lima Barreto	1919.0	Male	1900.0	16818.0	3225.0	71336.0	PPORTAL
Histórias e Tradições da Província de Minas Gerais	Bernardo Guimarães	1872.0	Male	1800.0	2142.0	2350.0	52913.0	PPORTAL
Histórias sem Data	Machado de Assis	1884.0	Male	1800.0	1902.0	3179.0	60300.0	PPORTAL
Hoje Avental, amanhã Luva	Machado de Assis	1884.0	Male	1800.0	17415.0	607.0	5157.0	PPORTAL
Hoje sou um; e amanhã outro	Qorpo Santo	1866.0	Male	1800.0	7628.0	218.0	4459.0	PPORTAL
Horas tristes	Casimiro de Abreu	1855.0	Male	1800.0	86439.0	21.0	519.0	PPORTAL
Hospital das letras	Francisco Manoel de Melo	1661.0	Male	1600.0	38019.0	2679.0	44924.0	PPORTAL
Há metafísica bastante em não pensar em nada	Alberto Caeiro da Silva	1914.0	Male	1900.0	84426.0	33.0	664.0	PPORTAL
Há poetas que são artistas	Alberto Caeiro da Silva	1914.0	Male	1900.0	82168.0	16.0	472.0	PPORTAL
Hóspede	Pardal Mallet	1875.0	Male	1800.0	7626.0	1115.0	28663.0	PPORTAL
Iaiá Garcia	Machado de Assis	1878.0	Male	1800.0	1971.0	3859.0	67252.0	PPORTAL
Identidade	Machado de Assis	1884.0	Male	1800.0	17878.0	247.0	4294.0	PPORTAL
Identidades, poderes e saberes em um programa popular da televisão brasileira: uma abordagem discursiva	Carlos Renato Lopes	2017.0	Male	2000.0	86544.0	2122.0	61977.0	PPORTAL
Idéias do Canário	Machado de Assis	1884.0	Male	1800.0	16944.0	96.0	2031.0	PPORTAL
Ilha. Retratos encontrados num álbum esquecido...	Salomão Rovedo	2007.0	Male	2000.0	70020.0	1341.0	27507.0	PPORTAL
Iluminuras	Arthur Rimbaud	1874.0	Male	1800.0	2271.0	506.0	8579.0	PPORTAL
Ilusão	Casimiro de Abreu	1855.0	Male	1800.0	86440.0	11.0	332.0	PPORTAL
Immensis orbitus anguis	Antônio Frederico de Castro Alves	1871.0	Male	1800.0	86838.0	21.0	351.0	PPORTAL
In Extremis	Artur Azevedo	1904.0	Male	1900.0	7467.0	70.0	1510.0	PPORTAL
Infância	Casimiro de Abreu	1855.0	Male	1800.0	86441.0	13.0	177.0	PPORTAL
Ingenuidade	Artur Azevedo	1904.0	Male	1900.0	7468.0	48.0	728.0	PPORTAL
Ingleses na Costa	França Júnior	1879.0	Male	1800.0	16636.0	706.0	6610.0	PPORTAL
Inocência	Visconde de Taunay	1875.0	Male	1800.0	17500.0	3676.0	60946.0	PPORTAL
Inspirações da Tarde	Bernardo Guimarães	1872.0	Male	1800.0	17320.0	129.0	4089.0	PPORTAL
Inspirações do claustro	Luís José Junqueira Freire	1820.0	Male	1800.0	43440.0	2389.0	40212.0	PPORTAL
Inéditos e esparsos	Júlio Dinis	1875.0	Male	1800.0	28811.0	7168.0	151385.0	PPORTAL
Iracema	José de Alencar	1865.0	Male	1800.0	2029.0	1908.0	34105.0	PPORTAL
Jesus! Maria!	Auta de Sousa	1918.0	Female	1900.0	81777.0	17.0	141.0	PPORTAL
Jesuítas	Antônio Frederico de Castro Alves	1871.0	Male	1800.0	86839.0	27.0	330.0	PPORTAL
Jogo do Bicho	Machado de Assis	1884.0	Male	1800.0	17942.0	218.0	3623.0	PPORTAL
João Fernandes	Machado de Assis	1865.0	Male	1800.0	17425.0	112.0	1845.0	PPORTAL
João Silva	Artur Azevedo	1904.0	Male	1900.0	7471.0	91.0	2102.0	PPORTAL
Juca-Pirama	Antônio Gonçalves Dias	1851.0	Male	1800.0	16652.0	149.0	3148.0	PPORTAL
Juramento	Casimiro de Abreu	1855.0	Male	1800.0	86442.0	14.0	313.0	PPORTAL
Juriti	Casimiro de Abreu	1855.0	Male	1800.0	86443.0	10.0	228.0	PPORTAL
Laranja-da-China	Antônio de Alcântara Machado	1926.0	Male	1900.0	7384.0	2295.0	18030.0	PPORTAL
Lendas do Sul	João Simões Lopes Neto	1912.0	Male	1900.0	16665.0	419.0	15765.0	PPORTAL
Lendas e Narrativas (Tomo I)	Alexandre Herculano	1851.0	Male	1800.0	3742.0	2505.0	64652.0	PPORTAL
Leonce e Lena	George Büchner	1836.0	Male	1800.0	16643.0	971.0	11395.0	PPORTAL
Leonor de Mendonça	Antônio Gonçalves Dias	1851.0	Male	1800.0	16653.0	1585.0	26660.0	PPORTAL
Leram-me hoje S. Francisco de Assis	Alberto Caeiro da Silva	1914.0	Male	1900.0	84430.0	10.0	153.0	PPORTAL
Letra vencida	Machado de Assis	1884.0	Male	1800.0	17898.0	258.0	4402.0	PPORTAL
Letras livres: disseminando cultura!	Pedro Anízio Gomes	2017.0	Male	2000.0	53926.0	87.0	3429.0	PPORTAL
Linha Reta e Linha Curva	Machado de Assis	1884.0	Male	1800.0	1884.0	1577.0	17833.0	PPORTAL
Lira dos Vinte Anos	Manuel Antônio Álvares de Azevedo	1853.0	Male	1800.0	16539.0	2204.0	38198.0	PPORTAL
Literatura para todos: conversa com educadores	Ligia Cademartori	2007.0	Female	2000.0	50065.0	589.0	12850.0	PPORTAL
Livro das donas e donzelas	Júlia Lopes de Almeida	1899.0	Female	1800.0	7554.0	1257.0	35081.0	PPORTAL
Livro de Mágoas	Florbela Espanca	1919.0	Female	1900.0	1802.0	254.0	3977.0	PPORTAL
Livro de Sóror Saudade	Florbela Espanca	1919.0	Female	1900.0	7534.0	253.0	4261.0	PPORTAL
Livro do Desassossego	Fernando Pessoa	1982.0	Male	1900.0	24204.0	5036.0	115928.0	PPORTAL
Livros das Donas e Donzelas	Júlia Lopes de Almeida	1899.0	Female	1800.0	16682.0	1181.0	34921.0	PPORTAL
Livrovivo 2000 - 2002	Ricardo de Lima Barreto	2007.0	Male	2000.0	19318.0	818.0	18348.0	PPORTAL
Lição de Botânica	Machado de Assis	1884.0	Male	1800.0	2141.0	759.0	7149.0	PPORTAL
Loli	Auta de Sousa	1895.0	Female	1800.0	81779.0	17.0	278.0	PPORTAL
Longe dos Olhos	Machado de Assis	1876.0	Male	1800.0	17427.0	370.0	5650.0	PPORTAL
Loucura divina	Antônio Frederico de Castro Alves	1870.0	Male	1800.0	86633.0	72.0	360.0	PPORTAL
Lucrécias	Bruno Seabra	1871.0	Male	1800.0	2143.0	357.0	4717.0	PPORTAL
Lucíola	José de Alencar	1862.0	Male	1800.0	2047.0	3234.0	52415.0	PPORTAL
Luxo e Vaidade	Joaquim Manuel de Macedo	1860.0	Male	1800.0	16669.0	1444.0	26055.0	PPORTAL
Luz e Sombra	Auta de Sousa	1875.0	Female	1800.0	81781.0	10.0	263.0	PPORTAL
Luzia-Homem	Domingos Olímpio Braga Cavalcanti	1903.0	Male	1900.0	16618.0	3576.0	73383.0	PPORTAL
Luís Soares	Machado de Assis	1878.0	Male	1800.0	1880.0	558.0	8442.0	PPORTAL
Lágrimas de Xerxes	Machado de Assis	1869.0	Male	1800.0	1933.0	219.0	2735.0	PPORTAL
Léo, o pardo. (Coleção literatura para todos; v. 6)	Rinaldo Santos Teixeira	1960.0	Male	1900.0	50043.0	1135.0	26858.0	PPORTAL
Macbeth	William Shakespeare	1623.0	Male	1600.0	2341.0	1803.0	23910.0	PPORTAL
Macário	Manuel Antônio Álvares de Azevedo	1855.0	Male	1800.0	2105.0	1633.0	18192.0	PPORTAL
Madalena. (Coleção literatura para todos; v.1)	Cristiane Dantas	2010.0	Female	2000.0	50025.0	1495.0	21714.0	PPORTAL
Madresilvas	Brasílio Machado	1878.0	Male	1800.0	43446.0	602.0	12478.0	PPORTAL
Mal por Mal...	Artur Azevedo	1886.0	Male	1800.0	7472.0	37.0	609.0	PPORTAL
Mana Maria	Antônio de Alcântara Machado	1926.0	Male	1900.0	7385.0	2045.0	21633.0	PPORTAL
Manel Capineiro	Afonso Henriques de Lima Barreto	1915.0	Male	1900.0	16819.0	55.0	1296.0	PPORTAL
Mano	Coelho Neto	1893.0	Male	1800.0	7528.0	1781.0	38141.0	PPORTAL
Manuscrito de um Sacristão	Machado de Assis	1883.0	Male	1800.0	1917.0	178.0	3295.0	PPORTAL
Marcha Fúnebre	Machado de Assis	1863.0	Male	1800.0	1955.0	170.0	3184.0	PPORTAL
Marginalidade, violência e testemunho nos contos de Marcelino Freire	Flávia Heloísa Unbehaum Ferraz	2008.0	Female	2000.0	178571.0	618.0	13101.0	PPORTAL
Marginália	Afonso Henriques de Lima Barreto	1913.0	Male	1900.0	16820.0	2831.0	77420.0	PPORTAL
Maria	Antônio Frederico de Castro Alves	1871.0	Male	1800.0	86635.0	10.0	137.0	PPORTAL
Maria Cora	Machado de Assis	1861.0	Male	1800.0	1954.0	420.0	7862.0	PPORTAL
Maria Dusá	Lindolfo Rocha	1907.0	Male	1900.0	16838.0	5194.0	82807.0	PPORTAL
Maria Madalena	Rilvan Batista de Santana	2015.0	Male	2000.0	121409.0	1451.0	31779.0	PPORTAL
Maria Rosa Mística	Pe. Antônio Vieira	1686.0	Male	1600.0	17332.0	577.0	17187.0	PPORTAL
Maria Rosa Mística Excelências, Poderes e Maravilha do seu Rosário	Pe. Antônio Vieira	1686.0	Male	1600.0	16401.0	56.0	1420.0	PPORTAL
Mariana	Machado de Assis	1871.0	Male	1800.0	1978.0	202.0	3681.0	PPORTAL
Marília de Dirceu	Tomáz Antônio Gonzaga	1792.0	Male	1700.0	2048.0	1827.0	35384.0	PPORTAL
Mater	Auta de Sousa	1880.0	Female	1800.0	81859.0	15.0	245.0	PPORTAL
