filename	id	title	author	genre
obra_220	Letra vencida Prosa:conto MdA 1882 masc 	Letra vencida	Machado de Assis	conto
obra_221	Linha reta e linha curva Prosa:conto MdA 1870 masc 	Linha reta e linha curva	Machado de Assis	conto
obra_222	Longe dos olhos Prosa:conto MdA 1876 masc 	Longe dos olhos	Machado de Assis	conto
obra_223	Luís Soares Prosa:conto MdA 1870 masc 	Luís Soares	Machado de Assis	conto
obra_224	Marcha fúnebre Prosa:conto MdA 1906 masc 	Marcha fúnebre	Machado de Assis	conto
obra_225	Maria Cora Prosa:conto MdA 1906 masc 	Maria Cora	Machado de Assis	conto
obra_226	Mariana Prosa:conto MdA 1871 masc 	Mariana	Machado de Assis	conto
obra_227	Médico é remédio Prosa:conto MdA 1883 masc 	Médico é remédio	Machado de Assis	conto
obra_228	Memorial de Aires Prosa:romance MdA 1908 realismo masc 	Memorial de Aires	Machado de Assis	romance
obra_229	Memórias póstumas de Brás Cubas Prosa:romance MdA 1881 realismo masc 	Memórias póstumas de Brás Cubas	Machado de Assis	romance
obra_230	Miloca Prosa:conto MdA 1874 masc 	Miloca	Machado de Assis	conto
obra_231	Missa do galo Prosa:conto MdA 1899 masc 	Missa do galo	Machado de Assis	conto
obra_232	Miss Dollar Prosa:conto MdA 1870 masc 	Miss Dollar	Machado de Assis	conto
obra_233	Muitos anos depois Prosa:conto MdA 1874 masc 	Muitos anos depois	Machado de Assis	conto
obra_234	Na arca Prosa:conto MdA 1882 masc 	Na arca	Machado de Assis	conto
obra_235	Não é mel para boca de asno Prosa:conto MdA 1868 masc 	Não é mel para boca de asno	Machado de Assis	conto
obra_236	Amar, verbo intransitivo Prosa:romance MdAndrade 1927 modernismo masc 	Amar, verbo intransitivo	Mário de Andrade	romance
obra_237	Macunaíma Prosa:romance MdAndrade 1928 modernismo masc 	Macunaíma	Mário de Andrade	romance
obra_238	Os filhos da Candinha Prosa:cronica MdAndrade 1943 masc 	Os filhos da Candinha	Mário de Andrade	cronica
obra_239	Nem uma nem outra Prosa:conto MdA 1873 masc 	Nem uma nem outra	Machado de Assis	conto
obra_240	Notas semanais Prosa:cronica MdA 1878 masc 	Notas semanais	Machado de Assis	cronica
obra_241	O alienista Prosa:novela MdA 1882 realismo masc 	O alienista	Machado de Assis	novela
obra_242	O anel de Polícrates Prosa:conto MdA 1882 masc 	O anel de Polícrates	Machado de Assis	conto
obra_243	O anjo das donzelas Prosa:conto MdA 1864 masc 	O anjo das donzelas	Machado de Assis	conto
obra_244	O anjo Rafael Prosa:conto MdA 1869 masc 	O anjo Rafael	Machado de Assis	conto
obra_245	O astrólogo Prosa:conto MdA 1876 masc 	O astrólogo	Machado de Assis	conto
